Club,GamesPlayed,TotalPoints,TotalWins,TotalLosses,Draws,Goals,GoalsAgainst,GoalsDifferential,PenaltyKickTaken,PenaltyKickConceded,Fouls,FoulsSuffered,Offsides,YellowCards,RedCards,Year,StadiumCapacity,TotalSpectators,AverageAttendance,Matches,SoldOut,Capacity %,Win/lossRatio
Salt Lake,30,27,6,15,9,31,45,-14,6,4,412,428,90,63,5,2007,20.213,239.395,15.96,15,-,0.79,0.4
Toronto,30,25,6,17,7,25,49,-24,8,8,494,422,78,62,7,2007,30.991,301.947,20.13,15,1,0.65,0.35294117647058826
Chicago,32,47,13,11,8,43,41,2,6,3,457,466,84,53,2,2006,24.955,225.411,14.088,16,2,0.565,1.1818181818181819
Chivas,32,43,10,9,13,45,42,3,4,2,437,401,129,56,3,2006,18.8,317.462,19.841,16,1,1.055,1.1111111111111112
Colorado,32,41,11,13,8,36,49,-13,5,4,420,402,100,65,6,2006,18.086,192.894,12.056,16,-,0.667,0.8461538461538461
Columbus,32,33,8,15,9,30,42,-12,5,1,512,468,117,56,5,2006,20.011,212.699,13.294,16,-,0.664,0.5333333333333333
D.C.,32,55,15,7,10,52,38,14,9,8,454,433,91,63,5,2006,20.0,291.442,18.215,16,-,0.911,2.142857142857143
Dallas,32,52,16,12,4,48,44,4,1,1,476,419,105,58,2,2006,20.5,239.714,14.982,16,-,0.731,1.3333333333333333
Houston,32,46,11,8,13,44,40,4,3,3,502,530,101,51,7,2006,22.039,302.957,18.935,16,-,0.859,1.375
Kansas City,32,38,10,14,8,43,45,-2,6,5,399,460,86,51,4,2006,21.0,177.322,11.083,16,-,0.528,0.7142857142857143
LAFC,32,39,11,15,6,37,37,0,3,2,532,501,86,57,0,2006,27.0,333.016,20.814,16,3,0.771,0.7333333333333333
New England,32,48,12,8,12,39,35,4,3,1,422,515,94,58,1,2006,20.0,188.569,11.786,16,-,0.589,1.5
New York,32,39,9,11,12,41,41,0,5,4,540,450,109,63,4,2006,25.0,233.112,14.57,16,-,0.583,0.8181818181818182
Salt Lake,32,39,10,13,9,45,49,-4,6,1,422,416,123,59,5,2006,20.213,261.855,16.366,16,-,0.81,0.7692307692307693
Chicago,32,49,15,13,4,49,50,-1,7,5,454,448,89,45,3,2005,24.955,275.811,17.238,16,-,0.691,1.1538461538461537
Chivas,32,18,4,22,6,31,67,-36,9,7,521,452,89,70,4,2005,18.8,266.468,16.654,16,-,0.886,0.18181818181818182
Colorado,32,45,13,13,6,40,37,3,7,6,491,451,105,72,6,2005,18.086,218.206,13.638,16,-,0.754,1.0
Columbus,32,38,11,16,5,34,45,-11,5,2,456,415,106,53,3,2005,20.011,206.654,12.916,16,-,0.645,0.6875
D.C.,32,54,16,10,6,58,37,21,9,5,504,470,88,61,5,2005,20.0,266.617,16.664,16,-,0.833,1.6
